name,comm_cost,complexity,type
explored-56,0.9121550014382825,14,explored
explored-57,0.8585465681821622,36,explored
explored-58,0.46936458191397556,58,explored
explored-59,0.8095762724019477,21,explored
explored-60,0.815954716809738,32,explored
explored-61,0.9431388056198997,56,explored
explored-62,0.7156215327117357,42,explored
explored-63,0.752029276078874,32,explored
explored-64,0.9620149446207151,13,explored
explored-65,0.5686991329210977,72,explored
explored-66,0.714046248353545,57,explored
explored-67,0.8519873680498224,24,explored
explored-68,0.7068458463914248,71,explored
explored-69,0.6984574419766544,39,explored
explored-70,0.8314066185537161,50,explored
explored-71,0.7558985805340894,37,explored
explored-72,0.5399180178952627,70,explored
explored-73,0.9139470149689526,16,explored
explored-74,0.8923133260662215,12,explored
explored-75,0.8743078695388274,16,explored
explored-76,0.9568378333469201,28,explored
explored-77,0.9040258663759821,16,explored
explored-78,0.7829203002225553,50,explored
explored-79,0.673055841147543,55,explored
explored-80,0.6072778988963075,51,explored
explored-81,0.7465961650157384,60,explored
explored-82,0.9740541399827406,8,explored
explored-83,0.669062542580733,24,explored
explored-84,0.598869734794949,66,explored
explored-85,0.8405777353862924,26,explored
explored-86,0.8673742436937029,20,explored
explored-87,0.8088550892492166,36,explored
explored-88,0.8199978587974228,23,explored
explored-89,0.6589271453119558,54,explored
explored-90,0.8199417674858901,26,explored
explored-91,0.7471130262978607,43,explored
explored-92,0.8282293227960212,14,explored
explored-93,0.9691478072728924,18,explored
explored-94,0.9514760288537369,24,explored
explored-95,0.8317209429077531,22,explored
explored-96,0.7742444235674347,32,explored
explored-97,0.8941164173463363,19,explored
explored-98,0.9240744165222977,26,explored
explored-99,0.4462375664259435,87,explored
explored-100,0.8750822623523988,16,explored
explored-101,0.8379724253480896,34,explored
explored-102,0.7052967187692627,58,explored
explored-103,0.558887311160674,83,explored
explored-104,0.5080222101103693,46,explored
explored-105,0.8291850236938123,16,explored
explored-106,0.9324291796636067,92,explored
explored-107,0.9710451015124676,8,explored
explored-108,0.5987289780211159,77,explored
explored-109,0.8699751746855898,34,explored
explored-110,0.6456857201253576,40,explored
explored-111,0.49810240215448487,44,explored
explored-112,0.8678464368442567,17,explored
explored-113,0.9132249481859711,18,explored
explored-114,0.4430865921787709,81,explored
explored-115,0.8392151519280556,16,explored
explored-116,0.8364899850115819,14,explored
explored-117,0.6476599978386607,44,explored
explored-118,0.9677245576039689,23,explored
explored-119,0.597585104691829,60,explored
explored-120,0.8359108870418313,13,explored
explored-121,0.8580812553935595,24,explored
explored-122,0.8033058370979069,24,explored
explored-123,0.8587644395997033,14,explored
explored-124,0.4128128264522869,68,explored
explored-125,0.6773803035316865,85,explored
explored-126,0.8367360070248747,29,explored
explored-127,0.8514784030521869,14,explored
explored-128,0.7660517396539395,60,explored
explored-129,0.7035894341385553,37,explored
explored-130,0.8381121958584828,26,explored
explored-131,0.9840237089521733,8,explored
explored-132,0.7674204612933776,78,explored
explored-133,0.8636564927101785,39,explored
explored-134,0.8019175265394096,29,explored
explored-135,0.8303773382905417,20,explored
explored-136,0.9086666501505035,17,explored
explored-137,0.7032633873824772,24,explored
explored-138,0.9623903524786699,85,explored
explored-139,0.5911994140891129,48,explored
explored-140,0.980592648105252,20,explored
explored-141,0.9591650769859654,14,explored
explored-142,0.7168647279050604,50,explored
explored-143,0.775154872209137,40,explored
explored-144,0.6886354862151973,63,explored
explored-145,0.9891674615070173,20,explored
explored-146,0.9160421492483082,14,explored
explored-147,0.9477203221752888,14,explored
explored-148,0.8267248035608847,14,explored
explored-149,0.7808165281373485,44,explored
explored-150,0.7410963687150838,69,explored
explored-151,0.4851137757187628,40,explored
explored-152,0.8063709292819186,23,explored
explored-153,0.8526706635781441,12,explored
explored-154,0.9619558891992551,23,explored
explored-155,0.7978250095514429,42,explored
explored-156,0.9722455436221361,13,explored
explored-157,0.8476631693691239,16,explored
explored-158,0.8002963619021665,21,explored
explored-159,0.4654017350229368,88,explored
explored-160,0.799090654828924,24,explored
explored-161,0.647633412950955,39,explored
explored-162,0.7399679792887315,32,explored
explored-163,0.815920652223282,40,explored
explored-164,0.9826270609074805,14,explored
explored-165,0.8922139710223917,17,explored
explored-166,0.963929109591786,12,explored
explored-167,0.6191352136985057,40,explored
explored-168,0.9752664827845531,28,explored
explored-169,0.8409183812508516,16,explored
explored-170,0.45184402961348047,70,explored
explored-171,0.6548140273959426,45,explored
explored-172,0.8368022437207612,20,explored
explored-173,0.8566687220114118,38,explored
explored-174,0.641299904619158,34,explored
explored-175,0.85483771052309,31,explored
explored-176,0.9179034950265704,15,explored
explored-177,0.9842834514238997,13,explored
explored-178,0.9594623310558724,23,explored
explored-179,0.8015124676386429,24,explored
explored-180,0.8781339419539447,14,explored
explored-181,0.9250169526099847,66,explored
explored-182,0.6550109006676659,30,explored
explored-183,0.9731701538259397,13,explored
explored-184,0.8196841201641875,44,explored
explored-185,0.8937677942642408,14,explored
explored-186,0.6549257392015261,22,explored
explored-187,0.8390243902439024,14,explored
explored-188,0.8061176716494198,65,explored
explored-189,0.678142135867984,56,explored
explored-190,0.4905385611118681,69,explored
explored-191,0.9113257937048644,16,explored
explored-192,0.7451656601600395,94,explored
explored-193,0.6029937610193776,74,explored
explored-194,0.7922060226188854,16,explored
explored-195,0.7660638856987133,30,explored
explored-196,0.8363196620793023,16,explored
explored-197,0.8707498508080411,32,explored
explored-198,0.8739867279590173,26,explored
explored-199,0.6162355404794859,52,explored
explored-200,0.42809930962438125,64,explored
explored-201,0.9788799563973294,9,explored
explored-202,0.7671384945857346,22,explored
explored-203,0.6362895716945997,64,explored
explored-204,0.8745561584764714,14,explored
explored-205,0.9191170459190625,26,explored
explored-206,0.8063620661811832,48,explored
explored-207,0.8162783303810692,19,explored
explored-208,0.51631125948131,72,explored
explored-209,0.9029252189423875,24,explored
explored-210,0.862628877685425,14,explored
explored-211,0.7588463838549,29,explored
explored-212,0.6493060698156168,74,explored
explored-213,0.8649863760853218,29,explored
explored-214,0.5796798794005498,54,explored
explored-215,0.45192919107962026,90,explored
explored-216,0.8087495319697575,26,explored
explored-217,0.873977589287066,34,explored
explored-218,0.8727119952763773,14,explored
explored-219,0.6941255474180215,68,explored
explored-220,0.8507059704348381,30,explored
explored-221,0.749545805513921,23,explored
explored-222,0.8347124329547002,24,explored
explored-223,0.7379157827685736,88,explored
explored-224,0.9585712874182549,19,explored
explored-225,0.6781058792231976,57,explored
explored-226,0.6880143752554844,42,explored
explored-227,0.7277974595388412,24,explored
explored-228,0.8189778677515427,34,explored
explored-229,0.8976175606728134,35,explored
explored-230,0.8385715105313358,22,explored
explored-231,0.9317478160815128,19,explored
explored-232,0.6518031521097334,32,explored
explored-233,0.8699716025220181,26,explored
explored-234,0.9716696189308262,18,explored
explored-235,0.9027183539991824,18,explored
explored-236,0.916550279329609,17,explored
explored-237,0.9130274333469592,23,explored
explored-238,0.4141316936912386,74,explored
explored-239,0.8957584622110187,19,explored
explored-240,0.6926149983736167,100,explored
explored-241,0.905299692661731,26,explored
explored-242,0.8568141560034188,22,explored
explored-243,0.8571477235123508,16,explored
explored-244,0.7758730856734672,31,explored
explored-245,0.6674652919713555,78,explored
explored-246,0.6996344049799902,109,explored
explored-247,0.787779690662159,60,explored
explored-248,0.7427485011581959,42,explored
explored-249,0.47199890993323346,52,explored
explored-250,0.8063854067311622,24,explored
explored-251,0.8323581939929535,51,explored
explored-252,0.866710139567477,15,explored
explored-253,0.39245810055865926,92,explored
explored-254,0.9765364473146348,11,explored
explored-255,0.4662760594086387,46,explored
explored-256,0.7949520067826377,39,explored
explored-257,0.909587180468772,26,explored
explored-258,0.9860164872598447,8,explored
explored-259,0.6004734977517373,44,explored
explored-260,0.6283553617659081,30,explored
explored-261,0.6131966207930235,38,explored
explored-262,0.6063781930540304,39,explored
explored-263,0.6508410856074025,30,explored
explored-264,0.7161767427258298,49,explored
explored-265,0.712689559705502,56,explored
explored-266,0.390414225371304,62,explored
explored-267,0.907632170595449,34,explored
explored-268,0.7504495493151986,50,explored
explored-269,0.8955702790268126,24,explored
explored-270,0.7139823772539401,40,explored
explored-271,0.6903188445292274,23,explored
explored-272,0.958377941720359,23,explored
explored-273,0.8125643442188613,31,explored
explored-274,0.9095496365456732,16,explored
explored-275,0.9014826353189891,21,explored
explored-276,0.8509674342553482,12,explored
explored-277,0.7022414497887995,20,explored
explored-278,0.6379757687241676,50,explored
explored-279,0.8289863634081798,45,explored
explored-280,0.730863272319874,30,explored
explored-281,0.9581005586592178,6,explored
explored-282,0.8122331607394286,49,explored
explored-283,0.42797043193895623,72,explored
explored-284,0.6926311073674474,36,explored
explored-285,0.6195107034047665,52,explored
explored-286,0.7925909524458373,49,explored
explored-287,0.8937855871702445,26,explored
explored-288,0.7046600354271699,14,explored
explored-289,0.8122651976719288,32,explored
explored-290,0.4582954837928267,50,explored
explored-291,0.912029753867879,14,explored
explored-292,0.8159713942635236,30,explored
explored-293,0.9962528954898487,10,explored
explored-294,0.7311244341493695,30,explored
explored-295,0.9059090134895762,18,explored
explored-296,0.7348071944406595,23,explored
explored-297,0.7969410001362583,20,explored
explored-298,0.7264454739519463,49,explored
explored-299,0.8221277542220049,34,explored
explored-300,0.7636462733342417,31,explored
explored-301,0.8225746014443385,20,explored
explored-302,0.8980982228018609,26,explored
explored-303,0.91881175279759,24,explored
explored-304,0.7656106943677493,59,explored
explored-305,0.5459616432756507,81,explored
explored-306,0.4474014397965208,71,explored
explored-307,0.9256741138341152,23,explored
explored-308,0.43540786664849884,80,explored
explored-309,0.7586255118652333,26,explored
explored-310,0.4850398021315081,100,explored
explored-311,0.7616129272008819,27,explored
explored-312,0.4847447426988236,60,explored
explored-313,0.5848842182555904,84,explored
explored-314,0.8019845627309379,22,explored
explored-315,0.8917589177652258,35,explored
explored-316,0.9489342954956884,11,explored
explored-317,0.8344461098242267,14,explored
explored-318,0.8283740972884589,22,explored
explored-319,0.9223692406517042,19,explored
explored-320,0.913789334367751,26,explored
explored-321,0.7268887866951296,57,explored
explored-322,0.8574274045813084,22,explored
explored-323,0.7561696643502748,48,explored
explored-324,0.7012535767815778,24,explored
explored-325,0.97633890857065,14,explored
explored-326,0.8459131958638022,31,explored
explored-327,0.7357848480719444,43,explored
explored-328,0.8718490257528273,16,explored
explored-329,0.9159632735094311,29,explored
explored-330,0.9068252454272349,16,explored
explored-331,0.9226095176454557,13,explored
explored-332,0.8868965964874808,18,explored
explored-333,0.6777728573375119,38,explored
explored-334,0.9671901258118727,9,explored
explored-335,0.6263134331263505,36,explored
explored-336,0.5801965526638506,75,explored
explored-337,0.8700436026706635,16,explored
explored-338,0.8277121933824829,22,explored
explored-339,0.6745696507244402,38,explored
explored-340,0.6546689446267046,40,explored
explored-341,0.7800960621338057,42,explored
explored-342,0.9830882430010377,10,explored
explored-343,0.9694382889139094,20,explored
explored-344,0.7320516127148502,41,explored
explored-345,0.9245979243311986,26,explored
explored-346,0.836489985011582,14,explored
explored-347,0.9449793297625309,26,explored
explored-348,0.888899174262974,28,explored
explored-349,0.7767978086451912,39,explored
explored-350,0.7161517867506422,44,explored
explored-351,0.899467294752756,30,explored
explored-352,0.6211293366609055,42,explored
explored-353,0.701645319525821,52,explored
explored-354,0.5644700685833675,38,explored
explored-355,0.7375607485125131,40,explored
explored-356,0.8204208364243791,52,explored
explored-357,0.7620588636053958,37,explored
explored-358,0.8894117532556012,26,explored
